id,email,telefono,pais,technical_test___create_date,industry,hs_object_id
416102,Zoe <zoe_owen450104633@acrit.org> Contact Info.,0-774-386-624,Waterford,2021-07-13,Poultry and fish,416102
413403,Zara <zara_rodwell1398442854@nickia.com> Contact Info.,6-777-367-783,Ireland,2021-01-09,Fruit and vegetables,413403
417951,Zara <zara_freeburn1593147546@gmail.com> Contact Info.,5-618-556-540,Ireland,2021-08-30,Milling,417951
419852,Winnie <winnie_walter538064895@sheye.org> Contact Info.,1-161-604-327,Dublin,2021-02-10,Dairy products,419852
425352,Zoe <zoe_owen1652446013@bungar.biz> Contact Info.,5-645-416-200,Dublin,2021-11-02,Meat,425352
427351,Zara <zara_oldfield587137840@ubusive.com> Contact Info.,7-614-866-578,London,2021-11-12,Animal feeds,427351
428601,Zara <zara_freeburn2028884073@gembat.biz> Contact Info.,6-224-156-216,Limerick,2021-10-11,Meat,428601
432351,Zara <zara_rodwell1270511699@zorer.org> Contact Info.,3-386-252-475,Dublin,2021-04-28,Fruit and vegetables,432351
433703,Zara <zara_oldfield769606638@atink.com> Contact Info.,2-716-506-551,Limerick,2021-01-28,Meat,433703
413251,Willow <willow_morris1105172480@qater.org> Contact Info.,4-660-745-823,Winchester,2021-05-20,Fruit and vegetables,413251
