email,nombre,telefono,pais,ciudad,technical_test___create_date,industry,hs_object_id
zoe_owen450104633@acrit.org,Zoe,(+353) 7743 86624,Ireland,Waterford,2021-07-13,Poultry and fish,416102
zara_rodwell1398442854@nickia.com,Zara,(+353) 6777 367783,Ireland,,2021-01-09,Fruit and vegetables,413403
zara_freeburn1593147546@gmail.com,Zara,(+353) 5618 556540,Ireland,,2021-08-30,Milling,417951
winnie_walter538064895@sheye.org,Winnie,(+353) 1161 604327,Ireland,Dublin,2021-02-10,Dairy products,419852
zoe_owen1652446013@bungar.biz,Zoe,(+353) 5645 416200,Ireland,Dublin,2021-11-02,Meat,425352
zara_oldfield587137840@ubusive.com,Zara,(+1) 7614 866578,Canada,London,2021-11-12,Animal feeds,427351
zara_freeburn2028884073@gembat.biz,Zara,(+353) 6224 156216,Ireland,Limerick,2021-10-11,Meat,428601
zara_rodwell1270511699@zorer.org,Zara,(+353) 3386 252475,Ireland,Dublin,2021-04-28,Fruit and vegetables,432351
zara_oldfield769606638@atink.com,Zara,(+353) 2716 506551,Ireland,Limerick,2021-01-28,Meat,433703
willow_morris1105172480@qater.org,Willow,(+44) 4660 745823,United Kingdom,Winchester,2021-05-20,Fruit and vegetables,413251
